20
10
3 4 5
1H -> 0
1D -> 0
2H -> 0
2D -> 0
3H -> 0
3D -> 0
4H -> 0
4D -> 0
5H -> 0
5D -> 0
6H -> 0
6D -> 0
7H -> 7
7D -> 20
8H -> 8
2D 7D 9D -> 27
2D 7D 10H -> 27
2D 7D 10D -> 27
2D 8H 8D -> 27
2D 8H 9H -> 27
2D 8H 9D -> 27
2D 8D 9H -> 27
2D 8D 9D -> 27
3H 3D 4H -> 4
3H 3D 4D -> 17
3H 3D 5H -> 5
3H 3D 5D -> 18
3H 3D 6H -> 6
3H 3D 6D -> 19
3H 3D 7H -> 7
3H 3D 7D -> 20
3H 3D 8H -> 8
3H 3D 8D -> 21
3H 3D 9H -> 9
3H 3D 9D -> 22
3H 3D 10H -> 10
3H 3D 10D -> 23
3H 3D 11H -> 11
3H 3D 11D -> 24
3H 3D 12H -> 12
3H 3D 12D -> 25
3H 3D 13H -> 13
3H 3D 13D -> 26
3H 4H 4D -> 4
3H 4H 5H -> 27
3H 4H 5D -> 27
3H 4H 6H -> 6
3H 4H 6D -> 19
3H 4H 7H -> 7
3H 4H 7D -> 20
3H 4H 8H -> 8
3H 4H 8D -> 21
3H 4H 9H -> 9
3H 4H 9D -> 22
3H 4H 10H -> 27
3H 4H 10D -> 27
3H 4H 11H -> 27
3H 4H 11D -> 27
3H 4H 12H -> 27
3H 4H 12D -> 27
3H 4D 5H -> 27
3H 4D 5D -> 27
3H 4D 6H -> 6
3H 4D 6D -> 19
3H 4D 7H -> 7
3H 4D 7D -> 20
3H 4D 8H -> 8
3H 4D 8D -> 21
